Word/Phrase,Effort Score,Hits,Grid Name,Actual Position X,Actual Position Y,XY,Path,Cell Type,count
I want to watch Netflix,4.55,4,08 LEISURE ACTIVITIES - films phrases TEEN,320.0,1002.86,"(7, 2)",01 CORE - Home - TEEN ADULT -> 08 LEISURE ACTIVITIES - .Index pg1 core TEEN -> 08 LEISURE ACTIVITIES - Film TEEN -> 08 LEISURE ACTIVITIES - films phrases TEEN,WordList,1
cerebral,4.55,4,15 TOPICS - Health - Medical conditions TEEN,320.0,231.43,"(2, 2)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Health TEEN -> 15 TOPICS - Health - Medical conditions TEEN,Regular,1
death,4.55,4,15 TOPICS - Health - Medical conditions TEEN,746.67,694.29,"(5, 4)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Health TEEN -> 15 TOPICS - Health - Medical conditions TEEN,Regular,1
change the channel,4.55,4,08 LEISURE ACTIVITIES - TV phrases TEEN,746.67,1002.86,"(7, 4)",01 CORE - Home - TEEN ADULT -> 08 LEISURE ACTIVITIES - .Index pg1 core TEEN -> 08 LEISURE ACTIVITIES - TV TEEN -> 08 LEISURE ACTIVITIES - TV phrases TEEN,WordList,1
What time does it leave?,4.55,4,07 DAILY LIFE - travel phrases TEEN,960.0,848.57,"(6, 5)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - travel with core - TEEN -> 07 DAILY LIFE - travel phrases TEEN,WordList,1
What time does it arrive?,4.55,4,07 DAILY LIFE - travel phrases TEEN,320.0,848.57,"(6, 2)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - travel with core - TEEN -> 07 DAILY LIFE - travel phrases TEEN,WordList,1
It is delayed,4.55,4,07 DAILY LIFE - travel phrases TEEN,106.67,694.29,"(5, 1)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - travel with core - TEEN -> 07 DAILY LIFE - travel phrases TEEN,WordList,1
Where does it go from?,4.55,4,07 DAILY LIFE - travel phrases TEEN,746.67,694.29,"(5, 4)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - travel with core - TEEN -> 07 DAILY LIFE - travel phrases TEEN,WordList,1
totally,3.55,3,09 CONVERSATION - .Index TEEN,746.67,848.57,"(6, 4)",01 CORE - Home - TEEN ADULT -> 09 CHAT - words with core - TEEN -> 09 CONVERSATION - .Index TEEN,Regular,1
yikes,3.55,3,09 CONVERSATION - .Index TEEN,1173.33,385.71,"(3, 6)",01 CORE - Home - TEEN ADULT -> 09 CHAT - words with core - TEEN -> 09 CONVERSATION - .Index TEEN,Regular,1
yo,3.55,3,09 CONVERSATION - .Index TEEN,746.67,77.14,"(1, 4)",01 CORE - Home - TEEN ADULT -> 09 CHAT - words with core - TEEN -> 09 CONVERSATION - .Index TEEN,Regular,1
ok,3.55,3,09 CONVERSATION - .Index TEEN,320.0,231.43,"(2, 2)",01 CORE - Home - TEEN ADULT -> 09 CHAT - words with core - TEEN -> 09 CONVERSATION - .Index TEEN,Regular,1
beat,5.55,5,16 SCHOOL - Music Expanded,1173.33,848.57,"(6, 6)",01 CORE - Home - TEEN ADULT -> 16 EDUCATION - .Index Core TEEN -> 16 SCHOOL - .Index Core -> 16 SCHOOL - Music Core -> 16 SCHOOL - Music Expanded,Regular,1
